Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url,Original_Language_num,Genre_num
4/17/1902 0:00,A Trip to the Moon,professor barbenfouillis colleagues academy astronomy travel moon rocket propelled giant cannon lunar surface bold explorers face perils hidden caves mysterious planet ,18.356,1284,8,fr,Adventure Fantasy Science Fiction,https://image.tmdb.org/t/p/original/9o0v5LLFk51nyTBHZSre6OB37n2.jpg,14,0.325532839
2/27/1920 0:00,The Cabinet of Dr. Caligari,francis young recalls memory horrible experiences fiancã jane recently went francis friend alan visit cabinet caligari exhibit mysterious doctor shows somnambulist cesare awakens moments death sleep ,17.858,1075,8,de,Drama Horror Thriller Crime,https://image.tmdb.org/t/p/original/myK9DeIsXWGKgUTZyGXg2IfFk0W.jpg,6,0.302143532
1/1/1921 0:00,The Phantom Carriage,year drunkards evoke legend legend tells person year great sinner drive year phantom chariot picks souls dead ,15.371,213,7.9,sv,Drama Fantasy Horror,https://image.tmdb.org/t/p/original/yGNekNFaI4SeyDO8C0BkRXM6Byu.jpg,35,0.221297202
1/21/1921 0:00,The Kid,tramp cares abandoned newborn mother mother change heart aches reunited ,14.338,1528,8.2,en,Comedy Drama,https://image.tmdb.org/t/p/original/drgMcyTsySQBnUPGaBThCHGdlWT.jpg,8,0.186251123
2/16/1922 0:00,Nosferatu,vampire count orlok interested residence estate agentâ young wife murnauâ unauthorized adaptation bram stokerâ œdracula ,28.638,1406,7.7,de,Fantasy Horror,https://image.tmdb.org/t/p/original/zx24O7VAs6NbJhiIrUhWysAiHS0.jpg,6,0.129362132
9/18/1922 0:00,HÃ¤xan,grave robbing torture possessed nuns satanic sabbath benjamin christensen legendary film uses series dramatic vignettes explore scientific hypothesis witches middle ages suffered hysteria turn century psychiatric patients film serious instead witches brew scary gross darkly humorous ,15.164,241,7.6,sv,Documentary Horror History,https://image.tmdb.org/t/p/original/As8MXPHo1zJHyiQV4iWr9uk7tDg.jpg,35,0.223550896
12/24/1925 0:00,Battleship Potemkin,dramatized account great russian naval mutiny resultant demonstration showing support brought police massacre film incredible impact development cinema masterful example montage editing ,18.663,840,7.7,ru,Drama History,https://image.tmdb.org/t/p/original/tjnaRiHUsxBADaOwrQpnTnjHVwi.jpg,33,0.173344781
10/13/1926 0:00,Faust,satan earth settle things wager soul faust learned prayerful alchemist ,13.514,242,7.9,de,Drama Fantasy Horror,https://image.tmdb.org/t/p/original/wyqcaa9Cbj1G0mCD8uesGpJWFfP.jpg,6,0.221297202
12/25/1926 0:00,The General,americaâ civil union spies steal engineer johnnie gray beloved locomotive general johnnie lady love attached boxcarâ single handedly power general rescue annabelle ,15.388,846,8.1,en,Action Adventure Comedy Drama War,https://image.tmdb.org/t/p/original/dd2cviAare1rUoMiDmG2NuvFQEE.jpg,8,0.410227472
2/6/1927 0:00,Metropolis,futuristic city sharply divided working class city planners city mastermind falls love working class prophet predicts coming savior mediate differences ,18.847,1999,8.2,de,Drama Science Fiction,https://image.tmdb.org/t/p/original/pxbGZewX327IbTvrCVRJgcLJTSQ.jpg,6,0.241110608
8/12/1927 0:00,Wings,young rich middle class love woman become corps fighter pilots eventually heroic flying aces world devoted friends mutual love girl eventually threatens bond meanwhile hometown girl lovestruck lifelong door neighbor pines ,13.756,182,7.2,en,Drama Action War Romance,https://image.tmdb.org/t/p/original/zT0GvVwLtPS6LaNz4mrb25XHOe3.jpg,8,0.327115965
6/5/1929 0:00,Un Chien Andalou,chien andalou european avant garde surrealist film collaboration director luis salvador dali ,16.172,964,7.5,fr,Fantasy Horror,https://image.tmdb.org/t/p/original/obvE7ElAvCUhKtWFwDSvNbPw9PV.jpg,14,0.129362132
4/29/1930 0:00,All Quiet on the Western Front,young soldier faces profound disillusionment soul destroying horror world young german soldiers experiences horrors evil conceived signing fight eventually become tormented confused purpose ,14.515,515,7.8,en,Drama War,https://image.tmdb.org/t/p/original/yAU6jklJLUjZot3WyvyJrxVdLKb.jpg,8,0.173678155
2/1/1931 0:00,City Lights,sound silent film tramp falls love beautiful blind flower seller ,16.904,1584,8.4,en,Comedy Drama Romance,https://image.tmdb.org/t/p/original/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,8,0.292069886
2/12/1931 0:00,Dracula,british estate agent renfield travels transylvania meet mysterious count dracula interested leasing castle london unbeknownst renfield vampire dracula enslaves renfield drives insanity pair sail london dracula begins preying london socialites become subject study supernaturalist professor abraham helsing ,20.24,840,7.2,en,Horror Drama Fantasy,https://image.tmdb.org/t/p/original/iNPQvRyHsJO7ISrsl1fxS0ITWFU.jpg,8,0.221297202
5/11/1931 0:00,M,classic german thriller hans beckert serial killer preys children becomes focus massive berlin police manhunt beckert heinous crimes repellant disruptive city life targeted others seedy underworld network cops criminals pursuit murderer realizes people trail sending tense panicked attempt escape justice ,16.691,1549,8.1,de,Drama Action Thriller Crime,https://image.tmdb.org/t/p/original/slsS6jT6SXjcTPOrsFcLIrHboXA.jpg,6,0.302143532
11/21/1931 0:00,Frankenstein,henry frankenstein attempts create life assembling creature body parts deceased aided loyal misshapen assistant fritz frankenstein succeeds animating monster confused traumatized escapes countryside begins wreak havoc frankenstein searches elusive eventually confront tormented creation ,18.702,1110,7.5,en,Drama Horror Science Fiction,https://image.tmdb.org/t/p/original/gKaSFyd6HMTkXqU3UVVNWhVUiiO.jpg,8,0.288729656
12/24/1931 0:00,Dr. Jekyll and Mr. Hyde,henry jekyll believes distinct sides good evil side believes separating become liberated succeeds experiments chemicals accomplish transforms hyde commit horrendous crimes discontinues drug late ,16.146,190,7.3,en,Horror Science Fiction,https://image.tmdb.org/t/p/original/1Cci83lFKr4DHAcnbRjDCsx82Rv.jpg,8,0.196794586
1/1/1932 0:00,The Mummy,ancient egyptian priest named imhotep revived archaeological expedition finds mummy archaeologists accidentally reads ancient life giving spell imhotep escapes field site searches reincarnation soul lover ,14.789,416,6.9,en,Horror,https://image.tmdb.org/t/p/original/vSKpbZVvzqQcw6htiyEinbCY9vq.jpg,8,0.047619048
2/12/1932 0:00,Freaks,circus beautiful trapeze artist agrees marry leader side show performers deformed friends discover marrying inheritance ,17.649,853,7.8,en,Drama Horror,https://image.tmdb.org/t/p/original/j2dwljljOrLTcnwfKeUBBeNB8t7.jpg,8,0.139554118
4/2/1932 0:00,Tarzan the Ape Man,james parker harry holt expedition africa search elephant burial grounds provide ivory make rich parker beautiful daughter jane arrives unexpectedly join jane terrified tarzan friends abduct returns father expedition thoughts leaving tarzan ,13.459,145,6.8,en,Action Adventure,https://image.tmdb.org/t/p/original/sqtdNAktAI3p1iXmaEooaHjMmWd.jpg,8,0.142233264
4/9/1932 0:00,Scarface,murderous thug shoots mobs trying protect sister criminal life ,24.539,416,7.5,en,Action Crime Drama Thriller,https://image.tmdb.org/t/p/original/zH6q4rZEwGTDBEPdGiFUkRybiJX.jpg,8,0.302143532
5/6/1932 0:00,Vampyr,traveler allan gray arrives village courtempierre takes lodgings gray great interest supernatural particularly vampires barely settled feels sinister force descending night enters room tell daughters leone bitten vampire order break curse gray leone sister gisele find original vampire drive stake heart ,14.015,344,7.5,de,Horror Fantasy,https://image.tmdb.org/t/p/original/m7BKgeW06cgW5512wukfGhLsWGL.jpg,6,0.129362132
